sn,responses,label
55,"Adequate spaces for pavements, and to be raised so that vehicles are detered from using it. And lighting should be adequate.",0
56,make it mandatory to plant trees by all the citizens around their houses. lake should be protected and proper sewage system should be maintained,0
57,"Bangalore has more borewells and many residential property has more then one and in particular places borewells goes up to 2000 meters approx.it's not right way,as bottom surface get dry due to no water.government need to restrict with borewells after certain meters(*very strictly*) and need to supply water so as to save ground water and need to give awareness the advantages of solar energy",-1
58,"Although all these ideas are novel and can make an impact when implemented properly, no assurance what so ever has been given regarding this and the method of implementation is again up for speculation. Another major drawback is that these measures prevent future degradation but do not include any steps for rehabilitating the currently degrading environment",-1
59,It's important to educate as well as make people practice to plant trees only then will the city improve in. Environmental issues,0
60,"Well, I think solar energy should be widely supported by many people.. and each house should start taking this very seriously. Tesla as a company is doing so much better to the earth through sustainable energy. ",1
61,Everything is good but there should be compulsory CSR responsibility given to every company residing in Bengaluru for managing the environment in the city here by reducing the stress for the BBMP to look after each and everything,0
62,"I wonder to what extent this would be implemented, most of these laws already exist and no one care. Its vital to take legal actions.",-1
63,"Planting more and more trees isn't a option anymore, it's become a necessity",1
64,Should stop New extension for construction of buildings.,0
65,Because of the recent changes in Bangalore roads. The roads have been dug up... And many people have fallen sick most of 2017 or have faced breathing problems. Dust gathers everywhere and commuting doesnt only turn hard but next to impossible.,-1
66,Please put down commercialisation of residential areas with an iron hand. This will save our environment greatly and help children to study and play more. Please increase play area for children as at present even branded schools have small play area. Please ban honking by vehicles other than ambulances in the City. There is no need for honking with in the city. Please have one hour study for children every day on environment protection. Their parents are a spoilt lot who also need environmental education. Please Make it compulsory.,0
67,Their should small jungle in every part of bangalore the technique of this jungle is used by HAL where a small 10*20 place will be filled with trees and managed in such a way that their is no place inside by setting up of small mini size to huge trees in a orderly way this will fight pollution and save greenery,0
68,"While all of this sounds great on paper, implementation has always been an issue. The preparation for a Master Plan for the future must reflect in the attitudes of the authorities in the present and the authorities currently seem hell bent on making decisions that are not in favour of the ecology and aesthetics of the city.

The rampant construction of skywalks in the city is a case in point. These skywalks serve more as advertisement platforms than public utilities.

Also, integration of public transport in terms of accessibility and convenience goes a long way in incentivising the population to forego their private vehicles. 

The authorities have completely neglected this factor while deciding the location of the Cantonment Metro Station despite many valid counters to their technical arguments by select and credible individuals from the society.

The Kempegowda International Airport is 11 years old but we still don’t have a fully functional Metro/Rail system traversing the 40 km distance from the city to the airport. Reliance on private vehicles to reach the airport is expected in such a situation. However, the authorities are more interested in widening Jaymahal Road by removing it’s green cover instead of fast tracking and prioritising the Airport Metro Line.

Transplantation of trees saves the trees. However, it leaves their former/original location bereft of the benefits of their presence and hence causes immense ecological damage.",-1
69,"Tree planting has never been successful. Saplings are planted, money is spent and forgotten. They just wilt away after a few months due to lack of care.",-1
70,Implementation of plants should be done in every places as it enhances the reducing in the pollution also helps in reducing the health care problems which are associated with the pollition there are several new techniques for implementation purpose not one to discuss it's better to discuss by speaking with each other,0
71,"Need to stop demolishing Bigg biggg trees,you can't plant a 1plant instead of 1bigg tree
",-1
72,"-Ban petrol and diesel 4-wheelers inside the city
-Heavily subsidise electric vehicles (busses, cars, and two wheelers/bicycles )
-Build electric charging infrastructure
-Make Rain water harvesting, electricity generation via solar panels mandatory for medium to large scale housing projects. ",-1
73,good plan,1
74,Rather than plantaing small plants which only serve the purpose of aesthetics please opt for big shrubs that grow upto a height of 10-12 feet in between dividers and under the flyovers..,0
75,Good idea,1
76,"Stop cutting trees, start growing trees",0
77,Everyone should take responsibility,0
78,"What is the meaning of ""will plant more trees"". Instead of that make mandatory to all who are living in Bangalore that they plant 40 trees and by the next 10 years 10 trees should grow to their full health
 It should be their responsibility that they should take care of these plants. Those who can make survive 30+ plant reward them. I think there are 8 million people in Bangalore. Let's take 4 million are adult in this. So this count after 10 years  there would be 40 million tree at least. And this would be a great thing for this beautiful and important city.",-1
79,We should ideally stop new construction it will bring in more deforestation,0
81,Need to properly streamline all the projects and complete them within the deadline.,0
82,"- Initiative and Subsidy for buying electric vehicles.
- Initiative to maximize electric stations.. Build a smart, better and resilient infrastructure for electric vehicles to come in.
- Promote e bikes and cycles
- Ban all polluting vehicles. Move BMTC to electric 
- More strict regulations to protect our lake and lake beds. Prevent any waste run-over and sewage discharge into lakes. Build better aquatic environment in the lake.
- Waste management required
- Sustainable development required. New innovative wats to use renewable energy to peer the city required. ",-1
83,"Just planting is not sufficient, sustaining the existing and maintaining the new plants is the necessary of the hour",0
84,"One of the major issue of continuous urbanisation is the decrease of green coverage. The concrete areas formed by the roofs, roads, parkings create heat islands. Putting trees on the roads might help but the main built area (flat roofs) remain. Why not encouraging green roofs and roof  top cultivation? Coupling this with grey water recycling, will tackle the issue of water scarcity to maintain a green cover.",-1
85,Plant small trees along all roads in around Bangalore and make a dense forest kind of plan so that city gets back it's old charm,0
86,"Bangalore has lost 80% of It's greenery.  Where there is a will there is a way, we can definitely restore the greenery. You need to fix a date and begin the awareness campaign 6 months earlier so there is enough hype and awareness is created for all to participate. Make lakhs of saplings available and start a ""each plant a tree"" campaign. In 10 years time a lot of greenery will be restored. 

Also if the land around Airport can be beautifully landscaped, the entire City should have such landscaping. Let each builder take up the job of landscaping a few areas, in return the govt can offer them advertising space such that it doesn't spoil the beauty of the landscaped area. 

Also we see so many illegal bills stuck all over the city especially flyover pillars. Make it illegal and fine those companies that advertise on walls. ",0
87,Save trees,0
88,"If this follows exactly what has been mentioned here, they Bangalore will become a great city. I would just like to add a point regarding allocation of land space for new construction, there should be a gap to plant trees.",0
89,"BDA has done good job in assessing environment. A simple and more effective solution would be to involve public in environment protection. Issue a Government Order mandating 1 Tree for every House with minimum of 1200 sq.ft area of land. Apartment complexes can also abide this rule. This will ensure quick implementation of tree cover, and reduce temperature, and increase water resources through rain fall.",0
90,Very good view and thoughts from the government. Cutting down of trees must be made difficult for everyone. The must be guidelines and rules regarding cutting of trees. Just planting new trees will not help unless the old ones are preserved.,1
91,regulate garbage. invest in recycling plants or outsource it. make it licensed and legal.,0
92,Implementation should be enforced strictly,0
93,if we keep environment clean then we can have everything intact,0
94,"Tree planting should be made mandatory and vehicles should be made electrified, no more fossil fuel vehicles to be run on the roads",-1
95,Some major steps must be taken to avoid water wastage,-1
96,Do not make the situation that are facing big city like Bombay.... Dehil,-1
97,"Tree are cut irresponsibly,the trees must be planted in 1:10 ratio ,if one tree is cut in the same locality 10 trees must be planted ,the parks ,lakes must be surrounded by trees ,the roades must be maintained, proper drainage system must be in place , public toilet system must be in each locality,where not possible temporary modern public toilet system should be made , where public density is more and traffic is intense no vehicle zone or only pedestrian roads to be made ,like these issues must be addressed ",-1
98,I hope whatever things that has been mentioned here won't get limited to paper only. I hope it will honestly get implemented,1
99,"Plant more trees in the bhanergatta forests and make all the bridges green by introducing more of hanging plants.
Industries into more of pollution shuld be asd to pay heavy penalty and asd to be shifted to the outskirts....penalty shuld be nlmade compulsory to any industry within and outskirts of banglore....
The lakes in the city must be cleaned and shuld take enough preventions that they do not get polluted again after cleaning ",-1
100,Making residents to mandate planting plants at home at least 1 plant per person,0
101,You are playing with environment,-1
102,Should look at the sustainability of the plan,0
103,Who will maintain the planted trees? Till now all the planted trees are died without no Maintanance and water supply,0
104,"Roof top gardens and Skywalker with plantation in localities that would have housing next to next, also in case of It company offices. Flats and row houses must mandatory have garden space with trees. BDA must increase public transport including metro and publicize lesser usage of personal cars. Also, prohibit the use of personal cars within Bangalore during peak office hours. ",-1
105,"* maintainace of existing lakes,  bus depot should not acquire the lakes to construct it. 

* no waste should be released to lakes, 
* government should provide subsidies to buy electric vehicles and make mandatory electric vehicles for students ( cycle or electric vehicle), 
* provide attractive exchange offers to buy electric vehicles( on old petrol/diesel vehicles) 

* all public transport with in the city should be electric vehicles.",-1
106,What about the emission of the vehicles? What about age old vehicles causing problems?,0
107,Need to plan around the environment,-1
108,Please make it mandatory for all buildings to have rooftop gardens.,0
109,"Bangalore is especially known for its green art and named as garden city....so I request to plant trees along the road side,provide clean footpaths with benches and some decorative things like that which makes the city look beautiful...and also a request to not allow anyone spit chewing gums and pan and all",0
110,Unavailability of ground water is an issue of grave concern,-1
111,"1. Planting trees will just not help because they will be chopped of my the Govt for road widening Or for Metro Or any other reasons. Why cant we enable Vertical gardening. Its consumes less space and more effective. Infact the space below the Metro lane is now becoming a dumping yard. It can be well maintained too.
2. Maintaining the water beds should be thought off. we see the lakes are been converted to land . Eg: JP nagar Puttenhalli lake which was once a wide spread lake, today is making way for a big apartment to come up. Even with heavy rains this year, there were no signs of water in it. One side the govt passed order to demolish the buildings built on the water bed, and other side the govt itself is granting permissions for covering  the lake. 

3. 
",-1
112,More can b done ..,0
113,"Most of the public transport is on diesel and the vehicles keep emitting dark black smoke at a very high rate, be it normal bus, Volvo or autos. This needs serious attention as the day is not far when we will be shutdown like Delhi ! 
Just do not go by the air quality index as it is good due to high altitude and powerful wind which sweeps away these toxic fumes.",-1
114,"Tree cutting should be kept to a minimum. During Road widening and flyover construction work, environmental aspects should have a greater say than the financial aspects. Buildings rather than a line of trees should be the first to go for any widening work and during budgeting this should be taken care of. A value has to be places on every tree just like market values are placed on property. ",-1
115,"The 2.2% forested area estimated to be in the Bangalore urban region is absurdly optimistic, and of this most is outside the core area. Look at the Banerghata National Park for an illustration of the problem: its entire north-eastern and northern boundaries are densely built-up right to the park boundary. The BDA's approach to green cover (pg 79) is simply copied and pasted from a best practice elsewhere to give a semblance of concern, as the commercial zoning currently (mal)practiced recognises no need for ever a ward green space. ",-1
116,Need lot improvement and it should be an agenda of development rather religion.,-1
117,We should try to reserve the lakes of the city,0
118,It's pathetic .,-1
119,Seat n food holding tray was too dirty...cleanliness poor,-1
120,"Environment also means the how the city looks to people- currently ministers and other high ranked officials deface the looks of this city by putting up illegal wooden hoarding everywhere. This is criminal. Sometimes these hoardings are so much in your way that it causes inconvenience to a common man in his/her day-to-day life. This must stop. Levy heavy taxes/charges on these hoardings. Why can't we be like any other international country. They do not use such illegal and ugly looking things in their cities, why should we?, they respect their citizens, do we? This will be a major change in my opinion and restore Bangalore's beauty. A STRICT RULE TO ERADICATE ALL POLITICAL, NON-POLITICAL BANNERS FROM OUR LOVELY BANGALORE CITY. Let us set an example.",-1
121,"Make mandatory for residents/companies/corporates, in fact all to plant trees and also maintain them till they grow. Moving Polluted industries outside city does not look like a good idea, working around controlling and reducing them shd be part. Forest and water bodies shd not be touched but to be maintained. Solar power to be in use immediately and let go others for preservation. Very clear demarcation on usage of public property- roads for driving, footpaths for walking etc",0
122,Ban on chewing gums and any non bio degradable food item,-1
123,"These plans are very generic. There needs to be a timeline, budget, name of person accountable, place where it plans to be implemented.  Please provide us with an open forum where we CAN TRACK WHAT ALL IS GETTING IMPLEMENTED",-1
124,Good plan should be realistic,0
125,Please ban use of polybags and disposable cutlery. Road side hawkers attract IT population and have no proper disposal of garbage. Garbage of disposable and polythene goes in drains and on foot paths,-1
126,"Pollution cannot be curbed just by installing tree, reduce the reduction of diesel cars for private use. Also make footpaths that support trees and store rainwater during raining season, this will replenish ground water, also ban bore-wells that are destroying the water table in Bangalore",-1
127,Pollution,-1
128,Asking people to cultivate and grow terrace garden in apartments and buildings.,0
129,"please stop cutting trees and Govt. should bring rules such as for every one new building permit they should have plant sapled and they should take care.
Now they are giving subsidy on current, if solar plants is installed similarly they should give subsidy on current or water if they have a tree planted which is recorded by government for that individual house/building, so that people will concentrate on that.  
Only planting saplings will not help all these ...it should be taken care properly, so that it grows big instead dying as saplings itself.",-1
130,"Good to see planting tree point in the plan.. this was there earlier in 80s when one could see roadside plants with plant gaurds .. after IT revolution started, this became another photo op or event instead of being a regular activity by the concerned department. Please ensure no big trees are cut or if they have to, should be translocate else where. Have a immediate movement called ""Bring back Greenery"" and go on offensive planting trees as part of or outside this plan. Definite need of the hour else we will all choke to severe health problems and die",1
131,"Planting of trees is an ongoing task. During the tenure of Mr. Ramakrishna Hegde it was encouraged by distributing free saplings in each ward. People who had open spaces and interest in planting were encouraged.

Over a period of time, everyone is interested in deviating the plan of their homes and building complete space of the site. Hence, there is no space for planting. This is leading to lot of air pollution in many areas and thus causing health issues for many people residing in Bangalore.

If you want to still retain Bangalore as ""Green City"" tag, then now is the time to change it. Please take some serious look.",-1
132,"Use of Solar electric power, rain water harvesting and home composting should be encouraged. We need to educate public in these areas. ",0
133,"Ensure each housing society has trees planted, roof top gardens and zero discharge",0
134,Tackle bio-degradable waste AT SOURCE. Make composting mandatory for all households and residential societies. Alleppey has done it. All plastic to be washed and collected separately and reused or recycled. Ban on plastic needs to be implemented as far as possible. Deter industries from plastic packaging. Stress on producing less waste. Educate society about segregation and waste management. You need everyone with you to succeed. Rest waste can be segregated and sorted more easily then. And no garbage collection on roads please!! Good luck!,0
135,Trees should be planted all roads not only major roads.  Ensure minimum one tree per house should be achieved. Segregation of waste and wet waste should be converted in to manure and used for the plantation of trees,0
136,"Why BBMP is allowing individual house owners to build houses wall to wall or even the builders without thinking of the parks and trees to be planted at home and apartments. Wherez the initiative to ncourage by providing grow bags and seeds to grow at home eg terrace garden, waste composting.",-1
137,Waste water and other waste treatment plant should be there in the apartments.  Proper arrangements should be made in the factories for chemical waste disposal instead of channeling to the lakes and other water bodies.,-1
138,"There is no clear mandate from where citizens can access data. The scare in Delhi and Mumbai is a clear lesson for urban developers that incessant development without planning will have an adverse affect on the economy sooner or later. 

First and foremost, we need real time monitoring systems that can be accessed online. This will ensure accountability. 

Cycling and renewables needs a focus in the city. Bangalore is one of those cities in our country which can easily be converted to the ways of cycling with minimal effort. We need cycling lanes and public sharing systems. The city needs docking points so that people can dock their cycles effectively. There should be days when vehicular traffic is limited to cycles (for healthy people). This will promote a new kind of culture, and will benefit the city in the long run.",-1
139,The BBMP and BDA are imposing rules but not taking appropriate steps to ensure everyone is adhering to it. Also people get away with not following the set regulations by bribing the authorities which needs to stop.,-1
140,Don't increase urbanization.. Don't increase FAR for construction.  Move further out only and have wide signal free road to commute to city or metro extension,-1
141,Also make sure to plant a tree with every cut down of a tree used for houses and carpentry,0
142,"The idea is awesome but will it be really executed or possible in this corrupt state. Every new plan come comes with a heavy cost which end of the day is bared by common public. How? Means XYZ authority take cost approval from respective authorities in the name of development which includes bribe for each and every person. This needs to be properly mapped and monitored before executing any plans which will help to have cost effective and qualitative execution. Also there should be strict sessions/syllabus in every school. 
Me being from Kerala State, but feel so bad hearing sarcastic fun on laughing at Bangalore being called garden of the city as it isn't really green. We should give this job to Army personals who are good and maintaining and managing green. Examples - HAL Stretch, Jalahalli Stretch, Ramaiah College Stretch, Brigade  Road towards Kormangala stretch. Entire road and area should beautiful like our Devanahalli Airport Road that should be our target and focus. 

Clean all lakes esp sarjapur lake. If one cuts one trees they should plant 5 trees in return. There should be proper count and agreement on trees. Every garden should be properly managed.  ",0
143,"Looks good
",1
144,"This sounds like a good plan, please implement ",1
145,"The environment must not just be limited to plants and lakes, animals form a huge component.Poor stray animals wander about( and it actually isnt their mistake, where are they gonna go if their.land is encroached by bangalorean in making houses and roads) They share this land as much as we do.It is painful to see these poor animals being chased away from almost anywhere.What happened to the green city? what happned to the nature of ayiti devo bhava? Where humbleness and generosity was part in each citizen?",-1
146,Please do plant more trees and maintain the name given to us as a garden city,0
147,A larger comprehensive policy detail needs to be included. Planting trees is fine or water harvesting is also fine. How are we going to achieve them? What is the strategy behind the same? A lot of water is wasted just via drains. How do we use that to recharge our ground water levels? None of this is covered and just a statement does not help.,-1
148,"Many of the building construction are illegal. Only Bangalore was concentrated for development and many of the projects should have been moved to other cities. Over population and illegal construction and cutting down trees, no waste management. All these issue needs to be addressed.
1. All the lakes should be rejuvenated. 
2. No more projects in Bangalore, convince the company to open in Mysore or any other cities. 
3. Promote e bicycle, since the cost of living near to office is high we stay far and use bike or car. If cost of living reduced we can stay near to office and go by bicycle it's healthy and good for environment.

I am happy to suggest and participate in any initiative. Feel free to reach out at ananda.palani@gmail.com ",-1
149,No construction  n no industry waste flowing strictly into lake beds.,-1
150,We need to educate people from the grassroot level aggressively regarding our mother earth and how to nurture it.,0
151,I am very concerned about AIR POLLUTION. BDA can set up a small small AIR Purifier towers where pollution is high.,-1
152,"Unsatisfied with the development and need to show intrest and improve the grenery plant the trees where it is required in every road with plan
",-1
153,Need to come out with a comprehensive plan  for preventing flooding during monsoons...especially in the areas such as koramangala,-1
154,We also need to work on drainages water logging issue in Bangalore.,0
155,Planting trees in every house should be mandatory,0
156,"Why it doesn’t shook our conscious to see our lakes disappear and tree cover vanish? The city that gave us so much, we took away everything from it in just 2 decades. Is there no end to human greed? The air quality index has broken the scale to worst and still administration is busy minting money by shielding land/sand mafia. We have only one earth, one motherland  , one hometown... let’s get together and we can bring back the glorious days. Don’t let us down please. Even poorer countries score better than us in environmentally sustainable development of infrastructure. Don’t make it ghost city. ",-1
157,"Banning of setting fire to dry waste (dry leaves, paper, garbage). I have complained many times on I change my city app. The regular offenders being the Government Institutions and the BBMP Garbage Contractors/Handlers.",-1
158,"Needs more green spaces. Make use of solar energy in existing areas. Plant trees on the opposite sides of the electricity poles (better to channelize all wires underground). So trees can grow without being chopped off. Make open spaces in every ward, parks with trees a must!",0
159,Community and public toilets are an absolute need. The details of toilet construction is not sufficient enough. Please make adequate provision to build a four seat toilet complex every two km on main roads. A public private partnership initiative may be taken up in this regard.,-1
160,stop cutting the trees 1st,-1
161,No good roads.very pathetic road from Doddamara to mahaveer orchids.there are many incidents happened of slip during rainy season and normal time also.,-1
162,"Yellachanahalli Lake has been landfilled by land mafia, and removed from Bangalore map by BDA, can you reinstate the lak",-1
163,"We need to make hard rules and should follow them without any if and but. We have do some public gathering to encourage people to contribute for the better environment. Even plastic ban in Bangalore, we can easily find that people are using it (even it has reduced but not fully). I am agree that only Gov body can do until people are not supporting so we have to make the Clean India Healthy India Campaign more frequently. We can start some program like Swach Bharat Ambassador for a particular area. It may help other people to participate in this actively. ",-1
164,Bangalore has been turned from garden city to garbage city,-1
165,Environment to be sustained at all cost. More & more tress to be planted to increase green cover,0
